repo,condition,model,pred_index,category,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage
4jean__lav_sms,readme_only,deepseek-v4-pro,0,readme_overgeneralization,User,Login,Authenticated users log into the system using their credentials to access role-based dashboards.,"readme.md (login screenshot, login credentials)",Update own account,0.2081,
4jean__lav_sms,readme_only,deepseek-v4-pro,1,actor_scope_error,Administrator,Manage Exams and Grades,"Administrators create, edit, and manage exam definitions and grading scales.",readme.md (Administrators functions),Manage timetable,0.2,
4jean__lav_sms,readme_only,deepseek-v4-pro,2,matched_goal_missing_or_wrong_path,Administrator,Manage Subjects,"Administrators add, edit, and organize academic subjects.",readme.md (Administrators functions),Manage timetable,0.3333,0.0
4jean__lav_sms,readme_only,deepseek-v4-pro,3,actor_scope_error,Administrator,Manage User Accounts,"Administrators create, edit, and manage profiles for all user roles (teachers, students, parents, etc.).",readme.md (Administrators functions),Manage timetable,0.25,
4jean__lav_sms,readme_only,deepseek-v4-pro,4,actor_scope_error,Teacher,Record Exam Marks,Teachers enter and update student marks for the subjects they teach.,readme.md (Teacher functions),Manage marks,0.25,
4jean__lav_sms,readme_only,deepseek-v4-pro,5,actor_scope_error,Teacher,Upload Study Materials,Teachers upload study materials for their classes.,readme.md (Teacher functions),Manage marks,0.1622,
4jean__lav_sms,readme_only,deepseek-v4-pro,6,matched_goal_missing_or_wrong_path,Student,View Marksheet,Students view their own academic marks and class timetable.,"readme.md (Student functions, marksheet screenshot)",View and print marksheet,0.5,0.0
4jean__lav_sms,readme_only,deepseek-v4-pro,7,matched_goal_missing_or_wrong_path,Parent,View Child's Marksheet,Parents view and download/print their child's academic marksheet.,"readme.md (Parent functions, print marksheet screenshot)",View children,0.4,0.0
4jean__lav_sms,file_tree_only,deepseek-v4-pro,0,framework_or_boilerplate_noise,User,Register account,A new user creates an account to access the school management system.,app/Http/Controllers/Auth/RegisterController.php | resources/views/auth/register.blade.php,Update own account,0.25,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,1,framework_or_boilerplate_noise,User,Log in,A registered user authenticates into the system.,app/Http/Controllers/Auth/LoginController.php | resources/views/auth/login.blade.php,Update own account,0.1909,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,2,framework_or_boilerplate_noise,User,Reset password,A user recovers access by resetting a forgotten password.,app/Http/Controllers/Auth/ForgotPasswordController.php | app/Http/Controllers/Auth/ResetPasswordController.php | resources/views/auth/passwords/email.blade.php | resources/views/auth/passwords/reset.blade.php,Update own account,0.1645,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,3,actor_scope_error,Admin,View dashboard,An administrative user views the main dashboard with summary information.,app/Http/Controllers/HomeController.php | resources/views/pages/admin/dashboard.blade.php,View children,0.3333,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,4,actor_scope_error,Super Admin,Configure system settings,Super administrator updates global school system settings.,app/Http/Controllers/SuperAdmin/SettingController.php | resources/views/pages/super_admin/settings.blade.php,Update own account,0.0938,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,5,matched_supported_goal,Support Team,Manage student records,"Support team creates, updates, and maintains student enrollment and profile data.",app/Http/Controllers/SupportTeam/StudentRecordController.php | resources/views/pages/support_team/students,Manage student records,1.0,0.2
4jean__lav_sms,file_tree_only,deepseek-v4-pro,6,matched_supported_goal,Support Team,Record exam marks,Support team enters and edits student marks for exams.,app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/support_team/marks,Manage marks,0.4333,0.25
4jean__lav_sms,file_tree_only,deepseek-v4-pro,7,matched_supported_goal,Parent,View child academic info,A parent monitors a child's school information and performance.,app/Http/Controllers/MyParent/MyController.php | resources/views/pages/parent/children.blade.php,View children,0.42,0.25
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,0,actor_scope_error,Super Admin,Update System Settings,"Super Admin updates school name, current session, phone number, and other system configurations.",resources/views/pages/super_admin/settings.blade.php | app/Http/Controllers/SuperAdmin/SettingController.php | resources/views/pages/super_admin/menu.blade.php,Update own account,0.2,
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,1,matched_goal_missing_or_wrong_path,Super Admin,Manage Pins,Super Admin generates new pins and views existing valid or invalid pins.,resources/views/pages/super_admin/menu.blade.php,Manage timetable,0.3333,0.0
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,2,actor_scope_error,Admin,Create User Account,"Admin fills out a form to create a new user account for any role (teacher, student, parent, accountant, librarian).",resources/views/pages/support_team/users/index.blade.php | app/Http/Controllers/SupportTeam/UserController.php,Update own account,0.2,
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,3,actor_scope_error,Admin,Edit User Profile,"Admin edits an existing user's personal details such as name, address, email, and phone.",resources/views/pages/support_team/users/edit.blade.php | app/Http/Controllers/SupportTeam/UserController.php,Update own account,0.1429,
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,4,matched_goal_missing_or_wrong_path,Admin,Manage Classes,Admin creates new classes and edits existing class names.,resources/views/pages/support_team/classes/index.blade.php | app/Http/Controllers/SupportTeam/MyClassController.php,Manage payments,0.3333,0.0
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,5,matched_goal_missing_or_wrong_path,Student,View Marksheet,Student views his/her own marksheet and can print it.,resources/views/pages/student/menu.blade.php | README screenshots,View and print marksheet,0.5,0.0
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,6,matched_goal_missing_or_wrong_path,Parent,View Child's Marksheet,Parent views and downloads/prints the marksheet of their child.,README FUNCTIONS OF ACCOUNTS - PARENT,View children,0.4,0.0
4jean__lav_sms,readme_plus_code,deepseek-v4-pro,7,actor_scope_error,Super Admin,Delete Class,Super Admin permanently removes a class from the system.,app/Http/Controllers/SupportTeam/MyClassController.php | README (Super Admin ability),Manage academic structure,0.1111,
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,0,implementation_level_goal,Support Team Member,Edit Subject,"Modify an existing subject's name, short name, class, and assigned teacher.",resources/views/pages/support_team/subjects/edit.blade.php | routes/web.php (subjects.update),Manage marks,0.0769,
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,1,matched_goal_missing_or_wrong_path,Support Team Member,Manage Student Marks,"Select class, exam, and subject to update students' exam marks.",resources/views/pages/support_team/marks/manage.blade.php,Manage student records,0.6667,0.0
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,2,matched_supported_goal,Support Team Member,Manage Timetable,"Add or edit time slots and subjects to a timetable record, and print it.",resources/views/pages/support_team/timetables/manage.blade.php | resources/views/pages/support_team/timetables/subjects/edit.blade.php | resources/views/pages/support_team/timetables/print.blade.php | routes/web.php (...,Manage timetable,1.0,0.125
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,3,code_context_overgeneralization,Support Team Member,Generate Student Invoice,View cleared and uncleared payments for a student and print an invoice.,app/Http/Controllers/SupportTeam/PaymentController.php (invoice method) | resources/views/pages/support_team/payments/invoice.blade.php (referenced),View and print marksheet,0.2069,
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,4,matched_supported_goal,Support Team Member,Promote Students,Move students from one class to the next academic session.,routes/web.php (promotion routes),Promote students,1.0,0.1667
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,5,framework_or_boilerplate_noise,Authenticated User,Update My Profile,"Change personal details like name, photo, address, and password.",routes/web.php (my_account routes),Update own account,0.25,
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,6,framework_or_boilerplate_noise,Unauthenticated User,Register Account,"Create a new user account with name, email, and password.",resources/views/auth/register.blade.php | routes/web.php (Auth::routes),Update own account,0.25,
4jean__lav_sms,random_code_same_budget,deepseek-v4-pro,7,framework_or_boilerplate_noise,Support Team Member,Reset User Password,Reset the password for any system user.,routes/web.php (users.reset_pass),Manage student records,0.1379,
4jean__lav_sms,full_selected_context,deepseek-v4-pro,0,framework_or_boilerplate_noise,Unauthenticated User,User Logs In,A user enters their credentials to access the system's role-based dashboard.,resources/views/auth/login.blade.php | app/Http/Controllers/Auth/LoginController.php,Generate and verify pins,0.1395,
4jean__lav_sms,full_selected_context,deepseek-v4-pro,1,actor_scope_error,Administrator,Create Class,"An administrator creates a new class, which automatically adds a default section.",app/Http/Controllers/SupportTeam/MyClassController.php | resources/views/pages/support_team/classes/index.blade.php | resources/views/pages/support_team/classes/edit.blade.php,Manage timetable,0.1304,
4jean__lav_sms,full_selected_context,deepseek-v4-pro,2,actor_scope_error,Administrator,Admit Student,An administrator registers a new student into the school system with personal and class details.,app/Http/Controllers/SupportTeam/StudentRecordController.php | resources/views/pages/support_team/students/add.blade.php | resources/views/pages/support_team/students/edit.blade.php,Manage student records,0.25,
4jean__lav_sms,full_selected_context,deepseek-v4-pro,3,actor_scope_error,Administrator,Create Exam,"An administrator defines a new exam by specifying its name, term, and academic year.",app/Http/Controllers/SupportTeam/ExamController.php | resources/views/pages/support_team/exams/edit.blade.php | resources/views/pages/support_team/exams/index.blade.php,Generate tabulation sheet,0.1081,
4jean__lav_sms,full_selected_context,deepseek-v4-pro,4,actor_scope_error,Administrator,Create User Account,An administrator adds a new user account by selecting a role and providing personal details.,app/Http/Controllers/SupportTeam/UserController.php | resources/views/pages/support_team/users/index.blade.php | resources/views/pages/support_team/users/edit.blade.php,Update own account,0.2,
4jean__lav_sms,full_selected_context,deepseek-v4-pro,5,matched_goal_missing_or_wrong_path,Student,View Marksheet,A student views their own marksheet for a selected academic year.,resources/views/pages/student/menu.blade.php | readme.md (student functions: 'View own marks'),View and print marksheet,0.5,0.0
4jean__lav_sms,full_selected_context,deepseek-v4-pro,6,matched_goal_missing_or_wrong_path,Parent,Print Child's Marksheet,A parent views and prints the marksheet of their child as a PDF.,readme.md (parent functions: 'View own child's marksheet (Download/Print PDF)') | resources/views/pages/parent/children.blade.php (implied by file existence),View children,0.4,0.0
4jean__lav_sms,full_selected_context,deepseek-v4-pro,7,actor_scope_error,Super Admin,Update System Settings,"The super administrator modifies global school settings such as name, session, and logo.",resources/views/pages/super_admin/settings.blade.php | app/Http/Controllers/SuperAdmin/SettingController.php | resources/views/pages/super_admin/menu.blade.php,Update own account,0.2,
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,0,actor_scope_error,Super Admin,Manage school settings,"Super Admin updates system settings such as school name, session, lock exam, and logo.",app/Http/Controllers/SuperAdmin/SettingController.php | app/Http/Requests/SettingUpdate.php | resources/views/pages/super_admin/settings.blade.php,Manage timetable,0.25,
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,1,actor_scope_error,Admin,Manage classes and sections,"Admin creates, edits, and deletes classes and sections, and assigns teachers to sections.",app/Http/Controllers/SupportTeam/MyClassController.php | app/Http/Controllers/SupportTeam/SectionController.php | resources/views/pages/support_team/classes/index.blade.php | resources/views/pages/support_team/section...,Manage timetable,0.2,
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,2,actor_scope_error,Admin,Manage exams and grades,Admin defines exam terms and corresponding grading scales.,app/Http/Controllers/SupportTeam/ExamController.php | app/Http/Controllers/SupportTeam/GradeController.php | resources/views/pages/support_team/exams/index.blade.php | resources/views/pages/support_team/grades/index.b...,Manage timetable,0.2,
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,3,matched_goal_actor_label_drift,Teacher,Enter student marks,Teacher records exam marks for students in their assigned subjects.,app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/support_team/marks/bulk.blade.php | resources/views/pages/support_team/marks/edit.blade.php | app/Helpers/Mk.php,Manage marks,0.2927,0.125
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,4,matched_supported_goal,Student,View marksheet,"Student views their own exam marksheet, optionally after entering a PIN if exam is locked.",app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/support_team/marks/show | app/Http/Controllers/SupportTeam/PinController.php,View and print marksheet,0.5,0.2857
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,5,matched_supported_goal,Parent,View child's marksheet,"Parent selects a child and views their exam marksheet, with option to download/print PDF.",app/Http/Controllers/MyParent/MyController.php | app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/parent/children.blade.php,View children,0.4,0.25
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,6,matched_goal_actor_label_drift,Accountant,Manage payments and print receipts,"Accountant creates payment records, views invoices, and prints payment receipts.",app/Http/Controllers/SupportTeam/PaymentController.php | resources/views/pages/support_team/payments | app/Helpers/Pay.php,Manage payments,0.4,0.25
4jean__lav_sms,oracle_upper_bound,deepseek-v4-pro,7,actor_scope_error,Librarian,Manage library books,"Librarian adds, edits, and removes books from the library catalog.",app/Http/Controllers/SupportTeam/BookController.php | resources/views/pages/librarian/menu.blade.php | app/Models/Book.php,Manage timetable,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_only,deepseek-v4-pro,0,matched_goal_actor_label_drift,Student,Manage Courses,"Student can add, view, update, and delete their course enrollments.",README.md,Manage courses,1.0,0.125
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_only,deepseek-v4-pro,1,actor_scope_error,Student,Manage Reviews,"Student can create, read, update, and delete their reviews for courses or instructors.",README.md,Manage courses,0.3333,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_only,deepseek-v4-pro,2,matched_goal_actor_label_drift,Student,Manage Passport Details,"Student can input, view, and update their passport information.",README.md,Manage student passport details,0.75,0.1667
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,deepseek-v4-pro,0,actor_scope_error,User,Create Student,Register a new student in the database by providing personal details.,src/main/java/studentdbms/controller/StudentController.java | src/main/java/studentdbms/entity/Student.java | src/main/java/studentdbms/service/StudentService.java | src/main/java/studentdbms/repository/StudentReposit...,Manage student records,0.25,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,deepseek-v4-pro,1,actor_scope_error,User,View All Students,Retrieve a list of all stored student records.,src/main/java/studentdbms/controller/StudentController.java | src/main/java/studentdbms/service/StudentService.java,Remove course from student,0.1481,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,deepseek-v4-pro,2,matched_goal_actor_label_drift,User,Add Course,"Create a new course offering, such as a class or subject, in the system.",src/main/java/studentdbms/controller/CourseController.java | src/main/java/studentdbms/entity/Course.java | src/main/java/studentdbms/service/CourseService.java,Add course to student,0.6667,0.1429
