project,repository_folder,repository_url,actor,use_case_name,level,description,main_flow,code_paths,api_paths,test_paths,evidence,annotator,review_status
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Find owners,summary,Clinic staff searches for owners by last name and opens matching owner records,Open find owners page | enter last name | submit search | inspect matching owners,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java | src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java | src/main/resources/templates/owners/findOwners.html | src/main/resources/templates/owners/ownersList.html,/owners/find,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Create owner,summary,Clinic staff registers a new pet owner with contact information,Open new owner form | enter owner details | submit | view created owner record,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java | src/main/java/org/springframework/samples/petclinic/owner/Owner.java | src/main/resources/templates/owners/createOrUpdateOwnerForm.html,/owners/new,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Update owner details,summary,Clinic staff edits an existing owner's address or contact information,Open owner details | choose edit owner | update fields | save changes,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java | src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java | src/main/resources/templates/owners/createOrUpdateOwnerForm.html,/owners/{ownerId}/edit,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Add pet to owner,summary,Clinic staff adds a pet profile under an owner record,Open owner details | choose add pet | enter pet name birth date and type | save pet,src/main/java/org/springframework/samples/petclinic/owner/PetController.java | src/main/java/org/springframework/samples/petclinic/owner/Pet.java | src/main/java/org/springframework/samples/petclinic/owner/PetTypeRepository.java | src/main/resources/templates/pets/createOrUpdatePetForm.html,/owners/{ownerId}/pets/new,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,Record pet visit,summary,Clinic staff records a veterinary visit for a pet,Open owner and pet details | choose add visit | enter visit date and description | save visit,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java | src/main/java/org/springframework/samples/petclinic/owner/Visit.java | src/main/resources/templates/pets/createOrUpdateVisitForm.html,/owners/{ownerId}/pets/{petId}/visits/new,,,codex_external,checked
Spring PetClinic,spring-projects__spring-petclinic,https://github.com/spring-projects/spring-petclinic,Clinic Staff,List veterinarians,summary,Clinic staff views veterinarians and specialties,Open veterinarians page | browse vet list and specialties,src/main/java/org/springframework/samples/petclinic/vet/VetController.java | src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java | src/main/resources/templates/vets/vetList.html,/vets.html,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Visitor,Register account,summary,Visitor creates a new account for the publishing platform,Submit username email and password | validate uniqueness | create user | receive token,src/main/java/io/spring/api/UsersApi.java | src/main/java/io/spring/application/user/UserService.java | src/main/java/io/spring/application/user/RegisterParam.java | src/main/java/io/spring/core/user/User.java,POST /users,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,User,Authenticate current user,summary,User logs in and retrieves an authenticated current-user representation,Submit credentials | validate password | generate JWT | return current user with token,src/main/java/io/spring/api/UsersApi.java | src/main/java/io/spring/api/CurrentUserApi.java | src/main/java/io/spring/core/service/JwtService.java | src/main/java/io/spring/application/data/UserWithToken.java,POST /users/login | GET /user,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Author,Create article,summary,Authenticated author publishes an article with title body description and tags,Submit article payload | validate slug uniqueness | persist article | return article data,src/main/java/io/spring/api/ArticlesApi.java | src/main/java/io/spring/application/article/ArticleCommandService.java | src/main/java/io/spring/application/article/NewArticleParam.java | src/main/java/io/spring/core/article/Article.java,POST /articles,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Reader,Browse articles,summary,Reader lists articles using author tag favorite or pagination filters,Request article list | apply query filters | return paginated articles,src/main/java/io/spring/api/ArticlesApi.java | src/main/java/io/spring/application/ArticleQueryService.java | src/main/resources/mapper/ArticleReadService.xml,GET /articles,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Reader,Comment on article,summary,Authenticated reader adds and manages comments on an article,Open article | submit comment | store comment against article and author | list comments,src/main/java/io/spring/api/CommentsApi.java | src/main/java/io/spring/core/comment/Comment.java | src/main/java/io/spring/core/comment/CommentRepository.java | src/main/resources/mapper/CommentMapper.xml,POST /articles/{slug}/comments | GET /articles/{slug}/comments,,,codex_external,checked
RealWorld Spring API,gothinkster__spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,Reader,Follow profile and favorite article,summary,Reader follows another author profile and marks articles as favorites,Open profile or article | follow author or favorite article | persist relationship | return updated profile or article,src/main/java/io/spring/api/ProfileApi.java | src/main/java/io/spring/api/ArticleFavoriteApi.java | src/main/java/io/spring/core/user/FollowRelation.java | src/main/java/io/spring/core/favorite/ArticleFavorite.java,POST /profiles/{username}/follow | POST /articles/{slug}/favorite,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Manage clients,summary,Billing user creates edits views and searches client records,Open clients module | create or edit client details | save | view client profile,application/modules/clients/controllers/Clients.php | application/modules/clients/controllers/Ajax.php | application/modules/clients/models/Mdl_clients.php | application/modules/clients/views/form.php,clients/form | clients/view,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Create invoice,summary,Billing user creates an invoice for a client and adds invoice items,Open invoice creation modal | select client | create invoice | add line items | save totals,application/modules/invoices/controllers/Invoices.php | application/modules/invoices/controllers/Ajax.php | application/modules/invoices/models/Mdl_invoices.php | application/modules/invoices/models/Mdl_items.php | application/modules/invoices/views/modal_create_invoice.php,invoices/create | invoices/view,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Convert quote to invoice,summary,Billing user turns an accepted quote into an invoice,Open quote | choose quote-to-invoice action | create linked invoice | review generated invoice,application/modules/quotes/controllers/Quotes.php | application/modules/quotes/models/Mdl_quotes.php | application/modules/quotes/views/modal_quote_to_invoice.php | application/modules/invoices/models/Mdl_invoices.php,quotes/view | quotes/ajax/modal_quote_to_invoice,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Record payment,summary,Billing user records a payment against an invoice,Open payments form or invoice payment modal | enter amount method and date | save payment | update invoice balance,application/modules/payments/controllers/Payments.php | application/modules/payments/controllers/Ajax.php | application/modules/payments/models/Mdl_payments.php | application/modules/payments/views/modal_add_payment.php,payments/form | payments/ajax/modal_add_payment,,,codex_external,checked
InvoicePlane,InvoicePlane__InvoicePlane,https://github.com/InvoicePlane/InvoicePlane,Billing User,Manage products and tasks,summary,Billing user maintains reusable products and project tasks for billing,Open product or task module | create or edit catalog entry | use item in billing workflow,application/modules/products/controllers/Products.php | application/modules/products/models/Mdl_products.php | application/modules/tasks/controllers/Tasks.php | application/modules/tasks/models/Mdl_tasks.php,products/form | tasks/form,,,codex_external,checked
